discipline_title,event_title,slug_game,participant_type,medal_type,rank_position,country_name,country_code,NOC,Medal,Year
Fencing,foil individual men,athens-1896,Athlete,GOLD,1,France,FR,FRA,1,1896
Fencing,foil individual men,athens-1896,Athlete,SILVER,2,France,FR,FRA,1,1896
Fencing,foil individual men,athens-1896,Athlete,BRONZE,3,Greece,GR,GRE,1,1896
Fencing,foil individual men,athens-1896,Athlete,BRONZE,3,Greece,GR,GRE,1,1896
Fencing,sabre individual men,athens-1896,Athlete,GOLD,1,Greece,GR,GRE,1,1896
Fencing,sabre individual men,athens-1896,Athlete,SILVER,2,Greece,GR,GRE,1,1896
Fencing,sabre individual men,athens-1896,Athlete,BRONZE,3,Denmark,DK,DEN,1,1896
Fencing,foil masters men,athens-1896,Athlete,GOLD,1,Greece,GR,GRE,1,1896
Fencing,foil masters men,athens-1896,Athlete,SILVER,2,France,FR,FRA,1,1896
Athletics,marathon men,athens-1896,Athlete,GOLD,1,Greece,GR,GRE,1,1896
Athletics,marathon men,athens-1896,Athlete,SILVER,2,Greece,GR,GRE,1,1896
Athletics,marathon men,athens-1896,Athlete,BRONZE,3,Hungary,HU,HUN,1,1896
Athletics,100m men,athens-1896,Athlete,GOLD,1,United States of America,US,USA,1,1896
Athletics,100m men,athens-1896,Athlete,SILVER,2,Germany,DE,GER,1,1896
Athletics,100m men,athens-1896,Athlete,BRONZE,3,Hungary,HU,HUN,1,1896
Athletics,100m men,athens-1896,Athlete,BRONZE,3,United States of America,US,USA,1,1896
Athletics,1500m men,athens-1896,Athlete,GOLD,1,Australia,AU,AUS,1,1896
Athletics,1500m men,athens-1896,Athlete,SILVER,2,United States of America,US,USA,1,1896
Athletics,1500m men,athens-1896,Athlete,BRONZE,3,France,FR,FRA,1,1896
Athletics,discus throw men,athens-1896,Athlete,GOLD,1,United States of America,US,USA,1,1896
Athletics,discus throw men,athens-1896,Athlete,SILVER,2,Greece,GR,GRE,1,1896
Athletics,discus throw men,athens-1896,Athlete,BRONZE,3,Greece,GR,GRE,1,1896
Athletics,shot put men,athens-1896,Athlete,GOLD,1,United States of America,US,USA,1,1896
Athletics,shot put men,athens-1896,Athlete,SILVER,2,Greece,GR,GRE,1,1896
Athletics,shot put men,athens-1896,Athlete,BRONZE,3,Greece,GR,GRE,1,1896
Athletics,pole vault men,athens-1896,Athlete,GOLD,1,United States of America,US,USA,1,1896
Athletics,pole vault men,athens-1896,Athlete,SILVER,2,United States of America,US,USA,1,1896
Athletics,pole vault men,athens-1896,Athlete,BRONZE,3,Greece,GR,GRE,1,1896
Athletics,pole vault men,athens-1896,Athlete,BRONZE,3,Greece,GR,GRE,1,1896
Athletics,high jump men,athens-1896,Athlete,GOLD,1,United States of America,US,USA,1,1896
Athletics,high jump men,athens-1896,Athlete,SILVER,2,United States of America,US,USA,1,1896
Athletics,high jump men,athens-1896,Athlete,SILVER,2,United States of America,US,USA,1,1896
Athletics,triple jump men,athens-1896,Athlete,GOLD,1,United States of America,US,USA,1,1896
Athletics,triple jump men,athens-1896,Athlete,SILVER,2,France,FR,FRA,1,1896
Athletics,triple jump men,athens-1896,Athlete,BRONZE,3,Greece,GR,GRE,1,1896
Athletics,long jump men,athens-1896,Athlete,GOLD,1,United States of America,US,USA,1,1896
Athletics,long jump men,athens-1896,Athlete,SILVER,2,United States of America,US,USA,1,1896
Athletics,long jump men,athens-1896,Athlete,BRONZE,3,United States of America,US,USA,1,1896
Athletics,400m men,athens-1896,Athlete,GOLD,1,United States of America,US,USA,1,1896
Athletics,400m men,athens-1896,Athlete,SILVER,2,United States of America,US,USA,1,1896
Athletics,400m men,athens-1896,Athlete,BRONZE,3,Great Britain,GB,GBR,1,1896
Athletics,110m hurdles men,athens-1896,Athlete,GOLD,1,United States of America,US,USA,1,1896
Athletics,110m hurdles men,athens-1896,Athlete,SILVER,2,Great Britain,GB,GBR,1,1896
Athletics,800m men,athens-1896,Athlete,GOLD,1,Australia,AU,AUS,1,1896
Athletics,800m men,athens-1896,Athlete,SILVER,2,Hungary,HU,HUN,1,1896
Athletics,800m men,athens-1896,Athlete,BRONZE,3,Greece,GR,GRE,1,1896
Artistic Gymnastics,rope climbing men,athens-1896,Athlete,GOLD,1,Greece,GR,GRE,1,1896
Artistic Gymnastics,rope climbing men,athens-1896,Athlete,SILVER,2,Greece,GR,GRE,1,1896
Artistic Gymnastics,rope climbing men,athens-1896,Athlete,BRONZE,3,Germany,DE,GER,1,1896
Artistic Gymnastics,rings men,athens-1896,Athlete,GOLD,1,Greece,GR,GRE,1,1896
Artistic Gymnastics,rings men,athens-1896,Athlete,SILVER,2,Germany,DE,GER,1,1896
Artistic Gymnastics,rings men,athens-1896,Athlete,BRONZE,3,Greece,GR,GRE,1,1896
Artistic Gymnastics,vault men,athens-1896,Athlete,GOLD,1,Germany,DE,GER,1,1896
Artistic Gymnastics,vault men,athens-1896,Athlete,SILVER,2,Switzerland,CH,SUI,1,1896
Artistic Gymnastics,vault men,athens-1896,Athlete,BRONZE,3,Germany,DE,GER,1,1896
Artistic Gymnastics,horizontal bar men,athens-1896,Athlete,GOLD,1,Germany,DE,GER,1,1896
Artistic Gymnastics,horizontal bar men,athens-1896,Athlete,SILVER,2,Germany,DE,GER,1,1896
Artistic Gymnastics,parallel bars men,athens-1896,Athlete,GOLD,1,Germany,DE,GER,1,1896
Artistic Gymnastics,parallel bars men,athens-1896,Athlete,SILVER,2,Switzerland,CH,SUI,1,1896
Artistic Gymnastics,team parallel bars men,athens-1896,GameTeam,GOLD,1,Germany,DE,GER,1,1896
Artistic Gymnastics,team parallel bars men,athens-1896,GameTeam,SILVER,2,Greece,GR,GRE,1,1896
Artistic Gymnastics,team parallel bars men,athens-1896,GameTeam,BRONZE,3,Greece,GR,GRE,1,1896
Artistic Gymnastics,team horizontal bar men,athens-1896,GameTeam,GOLD,1,Germany,DE,GER,1,1896
Artistic Gymnastics,pommel horse men,athens-1896,Athlete,GOLD,1,Switzerland,CH,SUI,1,1896
Artistic Gymnastics,pommel horse men,athens-1896,Athlete,SILVER,2,Germany,DE,GER,1,1896
Cycling Track,10km men,athens-1896,Athlete,GOLD,1,France,FR,FRA,1,1896
Cycling Track,10km men,athens-1896,Athlete,SILVER,2,France,FR,FRA,1,1896
Cycling Track,10km men,athens-1896,Athlete,BRONZE,3,Austria,AT,AUT,1,1896
Cycling Track,12-hour race men,athens-1896,Athlete,GOLD,1,Austria,AT,AUT,1,1896
